sourceid-year-oa,source_id,journal_name,parent_publisher,pub_year,oa_status,oecd_major,n_dois,apc_lower,apc_total
6582_2018_gold,6582,Diabetes Therapy,Springer-Nature,2018,gold,MEDICAL AND HEALTH SCIENCES,178,480 per page,85440
6582_2017_gold,6582,Diabetes Therapy,Springer-Nature,2017,gold,MEDICAL AND HEALTH SCIENCES,107,440 per page,47080
10898_2018_gold,10898,Infectious Diseases and Therapy,Springer-Nature,2018,gold,MEDICAL AND HEALTH SCIENCES,38,380 per page,14440
6436_2018_gold,6436,Dermatology and Therapy,Springer-Nature,2018,gold,MEDICAL AND HEALTH SCIENCES,58,380 per page,22040
10898_2017_gold,10898,Infectious Diseases and Therapy,Springer-Nature,2017,gold,MEDICAL AND HEALTH SCIENCES,37,380 per page,14060
6436_2017_gold,6436,Dermatology and Therapy,Springer-Nature,2017,gold,MEDICAL AND HEALTH SCIENCES,51,380 per page,19380
19205_2018_gold,19205,Pain and Therapy,Springer-Nature,2018,gold,MEDICAL AND HEALTH SCIENCES,16,380 per page,6080
21943_2018_gold,21943,Rheumatology and Therapy,Springer-Nature,2018,gold,MEDICAL AND HEALTH SCIENCES,41,380 per page,15580
19205_2017_gold,19205,Pain and Therapy,Springer-Nature,2017,gold,MEDICAL AND HEALTH SCIENCES,22,380 per page,8360
21943_2017_gold,21943,Rheumatology and Therapy,Springer-Nature,2017,gold,MEDICAL AND HEALTH SCIENCES,37,380 per page,14060
6436_2016_gold,6436,Dermatology and Therapy,Springer-Nature,2016,gold,MEDICAL AND HEALTH SCIENCES,52,360 per page,18720
6582_2016_gold,6582,Diabetes Therapy,Springer-Nature,2016,gold,MEDICAL AND HEALTH SCIENCES,61,360 per page,21960
6582_2015_gold,6582,Diabetes Therapy,Springer-Nature,2015,gold,MEDICAL AND HEALTH SCIENCES,46,320 per page,14720
18701_2017_gold,18701,Nuclear Engineering and Technology,Elsevier,2017,gold,ENGINEERING AND TECHNOLOGY,196,200 if over 8 pages,20200
18701_2018_gold,18701,Nuclear Engineering and Technology,Elsevier,2018,gold,ENGINEERING AND TECHNOLOGY,168,200 if over 8 pages,13800
18108_2015_gold,18108,Nature Communications,Springer-Nature,2015,gold,NATURAL SCIENCES,3201,5200,16645200
6102_2018_hybrid,6102,Current Biology,Elsevier,2018,hybrid,NATURAL SCIENCES,116,5200,603200
4391_2018_hybrid,4391,Cell,Elsevier,2018,hybrid,NATURAL SCIENCES,67,5200,348400
4434_2018_hybrid,4434,Cell Systems,Elsevier,2018,hybrid,NATURAL SCIENCES,50,5200,260000
17700_2018_hybrid,17700,Molecular Cell,Elsevier,2018,hybrid,NATURAL SCIENCES,46,5200,239200
18305_2018_hybrid,18305,Neuron,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,42,5200,218400
6498_2018_hybrid,6498,Developmental Cell,Elsevier,2018,hybrid,NATURAL SCIENCES,33,5200,171600
10716_2018_hybrid,10716,Immunity,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,23,5200,119600
23563_2018_hybrid,23563,Structure,Elsevier,2018,hybrid,NATURAL SCIENCES,21,5200,109200
4406_2018_hybrid,4406,Cell Chemical Biology,Elsevier,2018,hybrid,NATURAL SCIENCES,14,5200,72800
4419_2018_hybrid,4419,Cell Host & Microbe,Elsevier,2018,hybrid,NATURAL SCIENCES,12,5200,62400
4232_2018_hybrid,4232,Cancer Cell,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,10,5200,52000
4232_2018_hybrid,4232,Cancer Cell,Elsevier,2018,hybrid,NATURAL SCIENCES,9,5200,46800
4422_2018_hybrid,4422,Cell Metabolism,Elsevier,2018,hybrid,NATURAL SCIENCES,7,5200,36400
4422_2018_hybrid,4422,Cell Metabolism,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,7,5200,36400
